0,1,2,3,4,5,6,7,8,9,10,11,12
-0.86837773,0.0879711274,-0.488037601,-0.0130178897,-0.98784402,-0.154900599,-0.495731937,-0.128159049,0.858967442,0.000723583624,-0.00722068502,-0.0107058836,
-0.86806618,0.08842751,-0.48850911,-0.01346861,-0.98784106,-0.15488081,-0.49626522,-0.12786729,0.85870294,-0.01296861,-0.00197685,-0.00286713,
-0.86783801,0.08898593,-0.48881334,-0.01398536,-0.98781581,-0.15499717,-0.49665017,-0.12767622,0.85850881,-0.01711382,0.00815451,0.00389035,
-0.86787284,0.08913038,-0.48872506,-0.01417483,-0.98781579,-0.15497968,-0.49658382,-0.12757508,0.85856222,-0.02471515,0.00543141,0.00160561,
-0.868177029,0.0891496565,-0.488181157,-0.0143307514,-0.987825048,-0.154906916,-0.49604751,-0.127490634,0.858884739,-0.00668057427,0.000701904239,0.000169669278,
-0.86859768,0.08900373,-0.48745889,-0.01440604,-0.98785634,-0.15469993,-0.49530828,-0.12734966,0.85933215,0.00454389,0.00239325,0.00178771,
-0.86871015,0.08894133,-0.48727009,-0.01438846,-0.9878626,-0.1546625,-0.49511178,-0.12734581,0.85944597,,,,
-0.8688466,0.08881719,-0.48704923,-0.01435041,-0.98788098,-0.15454805,-0.49487323,-0.1272892,0.85959173,,,,
-0.869026829,0.0886926684,-0.486749897,-0.0143138087,-0.987896137,-0.154453183,-0.494557344,-0.127256754,0.859778293,0.0113102114,-0.000395774812,-0.00300440332,
-0.86907553,0.08858949,-0.48668205,-0.01425212,-0.9879092,-0.15437637,-0.49447385,-0.12722849,0.85983051,0.01090307,-0.00356233,-0.00275193,
-0.868904448,0.0885285844,-0.486998641,-0.014141941,-0.987914205,-0.154354953,-0.49477772,-0.127232604,0.859655086,0.00833656546,0.00465464545,0.000249990961,
-0.86852819,0.08863354,-0.48765025,-0.01410951,-0.98790322,-0.15442801,-0.49543878,-0.12724459,0.85927249,-0.01634496,0.0011456,0.00904092,
-0.868435489,0.0887370701,-0.487796402,-0.0141696904,-0.987893384,-0.154485162,-0.495599453,-0.127248489,0.859179253,-0.0106175821,0.000249862642,0.00796769187,
-0.86839149,0.08869678,-0.48788212,-0.01420949,-0.98791996,-0.15431171,-0.49567547,-0.12707043,0.85916175,0.02597085,-0.01297074,-0.02466811,
-0.86776491,0.08892704,-0.48895388,-0.0142948,-0.98791969,-0.15430545,-0.49676913,-0.12691137,0.85855339,0.09036965,-0.02997052,-0.05792613,
-0.86668476,0.08944701,-0.49077167,-0.01440925,-0.98787191,-0.15460125,-0.49864815,-0.12691889,0.85746232,0.07106764,-0.01202029,-0.03955819,
-0.86371595,0.09085908,-0.4957209,-0.01465615,-0.98772688,-0.15550123,-0.5037656,-0.12704354,0.85444727,-0.02624521,0.00764167,0.02463848,
-0.86151431,0.09236913,-0.49926043,-0.01532329,-0.98759464,-0.15627521,-0.50750195,-0.12698302,0.85224238,-0.02935621,0.00974286,0.02325961,
-0.86093206,0.09255327,-0.50022953,-0.01570627,-0.98767776,-0.15571009,-0.50847714,-0.12619909,0.85177741,0.01815829,-0.00609714,0.01258043,
-0.85935888,0.09267413,-0.5029053,-0.0157916,-0.98778171,-0.15504144,-0.51112901,-0.12529457,0.85032253,-0.02688456,0.01411295,0.02653279,
-0.85872085,0.09260889,-0.5040059,-0.01584046,-0.98786158,-0.15452643,-0.51219863,-0.12471139,0.84976445,-0.06414129,0.01749205,0.02940624,
-0.85912038,0.09206832,-0.50342347,-0.01598244,-0.98803149,-0.15342067,-0.51152354,-0.12376092,0.85030987,-0.07541356,0.02835035,0.01386624,
-0.86106605,0.09081026,-0.50031855,-0.01597459,-0.98826934,-0.15188288,-0.50824203,-0.12278881,0.85241594,-0.01332834,0.01673508,0.01592989,
-0.86207867,0.09013004,-0.49869487,-0.01602314,-0.98841301,-0.150939,-0.50652074,-0.12213066,0.85353431,0.02568494,0.00202703,0.01343482,
-0.86324619,0.08874821,-0.49692031,-0.01595047,-0.9887275,-0.1488742,-0.50453109,-0.12058898,0.8549308,0.04689921,-0.01083475,0.0119958,
-0.8637736,0.08788052,-0.49615719,-0.0164266,-0.98906121,-0.14658733,-0.50361206,-0.1184681,0.85576877,0.05218733,0.00186849,0.00663448,
-0.86392344,0.08769397,-0.49592942,-0.01687111,-0.98921,-0.1455296,-0.50334043,-0.11735956,0.85608127,0.03776412,0.00814176,0.00560472,
-0.86428371,0.08773408,-0.49529412,-0.0183474,-0.98951465,-0.14326196,-0.50266978,-0.11473163,0.85683122,0.04445493,0.0027833,0.03949668,
-0.86430126,0.08851302,-0.49512468,-0.02082386,-0.9898468,-0.14060347,-0.50254291,-0.11121337,0.85736934,0.03749017,0.00444221,0.04961875,
-0.86430126,0.08851302,-0.49512468,-0.02082386,-0.9898468,-0.14060347,-0.50254291,-0.11121337,0.85736934,0.03749017,0.00444221,0.04961875,
-0.86448553,0.09178419,-0.4942072,-0.02756259,-0.99036435,-0.13571702,-0.50190178,-0.10370374,0.85868513,0.11975861,0.04820275,0.0686736,
-0.86448553,0.09178419,-0.4942072,-0.02756259,-0.99036435,-0.13571702,-0.50190178,-0.10370374,0.85868513,0.11975861,0.04820275,0.0686736,
-0.86563923,0.10060722,-0.49045625,-0.04161434,-0.99067094,-0.12976821,-0.49893626,-0.09192242,0.86174991,0.33361673,0.05209851,0.18576261,
-0.86766494,0.1099204,-0.48484509,-0.05632126,-0.99070561,-0.12381435,-0.49394856,-0.0801223,0.86579167,0.33725721,0.06467091,0.24242452,
