0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.38851301,0.16156689,-0.90716795,0.00272901,-0.98470504,-0.17420753,-0.92143915,0.06520621,-0.38301155,0.00578796,-0.00378257,0.00259562,,,
0.38851301,0.16156689,-0.90716795,0.00272901,-0.98470504,-0.17420753,-0.92143915,0.06520621,-0.38301155,,,,,,
0.38851301,0.16156689,-0.90716795,0.00272901,-0.98470504,-0.17420753,-0.92143915,0.06520621,-0.38301155,,,,,,
0.38846107,0.1615886,-0.90718629,0.00277619,-0.98470481,-0.17420749,-0.92146087,0.06515429,-0.38296794,,,,,,
0.38846107,0.16163202,-0.90717862,0.00273209,-0.98469353,-0.17427295,-0.92146106,0.06521976,-0.38295666,,,,,,
0.38846107,0.16167544,-0.90717094,0.002688,-0.98468225,-0.17433841,-0.92146125,0.06528522,-0.38294538,0.0048768,0.00215459,-0.00258531,,,
0.38855627,0.16170078,-0.90712562,0.00266778,-0.98467453,-0.17438164,-0.92142113,0.06533707,-0.38303284,,,,,,
0.38850433,0.1617659,-0.90713621,0.00267085,-0.98466282,-0.17444706,-0.92144299,0.0653506,-0.38297775,0.00118708,0.00504386,-0.00138129,,,
0.38850433,0.1617659,-0.90713621,0.00267085,-0.98466282,-0.17444706,-0.92144299,0.0653506,-0.38297775,,,,,,
0.38840926,0.16178389,-0.9071737,0.00264696,-0.98465893,-0.17446919,-0.92148313,0.06536419,-0.3828788,0.00384348,0.00253963,0.00398428,,,
0.38840926,0.16178389,-0.9071737,0.00264696,-0.98465893,-0.17446919,-0.92148313,0.06536419,-0.3828788,0.00391711,-0.00170922,0.00620305,,,
0.38846107,0.161762206,-0.907155468,0.0025998641,-0.98465929,-0.174469219,-0.921461499,0.0654160236,-0.382922418,0.00374574913,0.000816464366,0.00451836269,,,
0.38860807,0.1617658,-0.90709177,0.00253258,-0.98465154,-0.17451242,-0.92139961,0.06551965,-0.38305311,,,,,,
0.38871166,0.16172236,-0.90705517,0.0024384,-0.98465188,-0.17451243,-0.92135621,0.06562324,-0.38313997,,,,,,
0.388763449,0.161700652,-0.907036801,0.00239129699,-0.984651863,-0.174512452,-0.921334435,0.0656750574,-0.383183208,-0.000297087128,0.00312805152,-0.00512013817,,,
0.38881523,0.16172228,-0.90701077,0.00230017,-0.98464056,-0.17457785,-0.92131284,0.06579224,-0.38321516,0.00331273,0.00518346,-0.00109412,,,
0.38876345,0.16178737,-0.90702134,0.00230322,-0.9846289,-0.17464322,-0.92133466,0.06580582,-0.38316025,0.00654707,0.00141716,-0.0025605,,,
0.388806704,0.161834481,-0.906994465,0.00233012969,-0.984621363,-0.17468653,-0.921316411,0.0658058804,-0.383204495,0.00499176374,0.000953078212,-0.00221273559,,,
0.38884996,0.16188155,-0.90696746,0.00235707,-0.98461343,-0.17472977,-0.92129802,0.06580587,-0.38324835,,,,,,
0.3888932,0.16192863,-0.90694058,0.00238402,-0.98460589,-0.17477303,-0.92127977,0.06580589,-0.3832926,0.00283429,0.00386047,-0.00512587,,,
0.3888932,0.16192863,-0.90694058,0.00238402,-0.98460589,-0.17477303,-0.92127977,0.06580589,-0.3832926,,,,,,
0.3888932,0.161972,-0.90693284,0.00233996,-0.98459441,-0.17483844,-0.92127989,0.06587129,-0.38328112,,,,,,
0.3888932,0.161972,-0.90693284,0.00233996,-0.98459441,-0.17483844,-0.92127989,0.06587129,-0.38328112,0.00784732,0.00420999,-0.00397435,,,
0.38893645,0.1620624,-0.9068981,0.00232289,-0.984575,-0.17494705,-0.92126163,0.06593665,-0.3833135,,,,,,
