0,1,2,3,4,5,6,7,8,9,10,11
0.14929039,-0.21600601,0.96491133,0.96571316,0.24146346,-0.09536023,-0.21239248,0.94606389,0.24464798,-0.01347869,-0.0096057,0.01492325
0.14897223,-0.21571676,0.96502514,0.96578603,0.24124992,-0.0951619,-0.2122842,0.94618429,0.24427579,-0.01200006,-0.00612992,0.0035548
0.14881339,-0.21544196,0.96511102,0.96581133,0.24117982,-0.09508272,-0.21228047,0.94626477,0.2439671,-0.00912191,-0.00844383,-0.00142002
0.14865462,-0.21512189,0.96520689,0.96582669,0.24114959,-0.0950035,-0.2123219,0.9463453,0.24361848,-0.00415827,0.00115609,-0.01571518
0.14865372,-0.21575655,0.96506532,0.96582621,0.24121436,-0.09484335,-0.21232449,0.94618425,0.2442408,0.00104005,-0.01622325,-0.00357479
0.14865297,-0.21622112,0.96496144,0.9658234,0.24127279,-0.09472314,-0.21233773,0.94606328,0.2446974,0.001634,-0.0167979,0.00866413
0.14897045,-0.21673087,0.9647981,0.96578163,0.24136997,-0.09490123,-0.21230519,0.94592184,0.24527177,0.00505743,-0.01196027,0.02050316
0.1493692,-0.21634123,0.96482405,0.9657266,0.24140208,-0.09537971,-0.21227602,0.94600297,0.24498445,0.00531228,-0.00753087,0.00948921
0.14952914,-0.21594174,0.9648887,0.96571027,0.24136452,-0.09563917,-0.21223741,0.94610377,0.24462818,-0.0034196,-0.00397545,0.00589042
0.14984883,-0.21509209,0.96502881,0.96564895,0.2414116,-0.09613764,-0.21229065,0.94628523,0.24387875,-0.01224261,0.00414276,-0.0192001
0.15008743,-0.21526654,0.9649529,0.96559352,0.24157024,-0.09629638,-0.21237453,0.94620513,0.24411662,-0.01731324,-0.00465518,-0.01088048
0.15016649,-0.21563622,0.96485799,0.96557938,0.24163476,-0.09627574,-0.21238264,0.94610442,0.24449938,-0.01281529,-0.00856852,-0.00213612
0.15016461,-0.21673523,0.96461202,0.96557638,0.24175853,-0.09599484,-0.21239769,0.94582165,0.24557803,0.0028052,-0.01291454,0.0135577
0.15016367,-0.2171997,0.96450767,0.96557364,0.24181722,-0.0958742,-0.21241065,0.94570006,0.24603453,0.00860658,-0.01233852,0.00132643
0.15032279,-0.21717976,0.96448742,0.9655534,0.24183507,-0.09603338,-0.21239037,0.94570013,0.24605199,0.00987282,-0.00341737,-0.00437671
