0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.99397827,-0.02103857,-0.10753814,0.03096161,-0.99532771,-0.09145496,-0.10511162,-0.0942338,0.98998563,-0.02834479,0.02994895,-0.04168306,,
-0.99374595,-0.02101531,-0.10966907,0.03098356,-0.99545996,-0.08999695,-0.10727986,-0.09283205,0.98988547,-0.05705839,0.05125939,0.02654471,,
-0.99336892,-0.02088,-0.11305789,0.03077369,-0.9957777,-0.0864848,-0.11077473,-0.08939053,0.9898173,0.02524975,0.07739567,-0.0023393,,
-0.99297824,-0.01962718,-0.11665708,0.02944273,-0.99611262,-0.08302206,-0.11457411,-0.0858738,0.98969615,0.20386527,-0.01697415,-0.04306595,,
-0.99301711,-0.01917741,-0.11640274,0.02877557,-0.99627073,-0.08134464,-0.11440864,-0.08412616,0.98986537,0.15640067,-0.00364393,-0.11500987,,
-0.99284133,-0.01754102,-0.11814466,0.0268834,-0.99659443,-0.07795244,-0.11637496,-0.08057054,0.98993194,0.13330723,-0.0015986,-0.07209998,,
-0.9920904,-0.01420491,-0.12471922,0.0235861,-0.99697431,-0.07406729,-0.12328973,-0.07642308,0.98942365,0.03286096,0.01503336,-0.01812629,,
-0.99172391,-0.0122156,-0.12780701,0.02161354,-0.99714112,-0.07240591,-0.12655713,-0.07456903,0.98915254,-0.00943669,0.06052076,-0.02187683,,
-0.99155293,-0.00777398,-0.12946828,0.01684522,-0.99746607,-0.06911848,-0.12860291,-0.07071557,0.98917167,-0.04841546,0.03651905,-0.09526298,,
-0.99141646,-0.00299175,-0.13070534,0.01172845,-0.99774218,-0.06612415,-0.13021244,-0.06708956,0.98921368,0.07947168,-0.04810792,-0.05234297,,
-0.99118839,-0.000302932142,-0.132457572,0.00899370757,-0.997843296,-0.0650184103,-0.132152236,-0.0656367937,0.989053889,0.122437149,-0.0296981316,-0.0652648658,,
-0.99034915,0.00522349,-0.13849515,0.00358826,-0.99798797,-0.06329909,-0.13854716,-0.06318517,0.98833816,0.02207682,-0.01781618,-0.03028915,,
-0.99034915,0.00522349,-0.13849515,0.00358826,-0.99798797,-0.06329909,-0.13854716,-0.06318517,0.98833816,0.02207682,-0.01781618,-0.03028915,,
-0.99034915,0.00522349,-0.13849515,0.00358826,-0.99798797,-0.06329909,-0.13854716,-0.06318517,0.98833816,0.02207682,-0.01781618,-0.03028915,,
-0.98816481,0.02065027,-0.15199783,-0.01160842,-0.99812245,-0.0601355,-0.15295431,-0.05765934,0.98654973,0.0817546,-0.02710616,-0.04287679,,
-0.98770849,0.02759481,-0.15385276,-0.01859506,-0.99804737,-0.0596312,-0.15519783,-0.05603733,0.98629278,0.09830336,-0.02298057,0.01584499,,
-0.98739323,0.03155133,-0.15510915,-0.02254797,-0.99797549,-0.05946613,-0.15667138,-0.05521907,0.98610594,0.07441914,-0.01977408,-0.0406403,,
-0.98668904,0.04003249,-0.15761456,-0.03108523,-0.99778408,-0.05882916,-0.15962036,-0.0531466,0.98574681,0.09344755,-0.0141257,-0.05913138,,
-0.98606685,0.04899798,-0.1589692,-0.04025292,-0.99751777,-0.057774,-0.16140543,-0.05057006,0.98559168,0.05861006,-0.00916886,-0.02448082,,
-0.985778578,0.0538398546,-0.15918968,-0.0452070656,-0.997328974,-0.0573648443,-0.161853037,-0.0493525501,0.98557999,0.0383905359,0.000647306384,0.0169371329,,
-0.98541275,0.06408905,-0.15765197,-0.05575585,-0.99683144,-0.0567291,-0.16078816,-0.04711156,0.98586392,0.0305116,0.07359087,-0.00895588,,
-0.98497603,0.0746058,-0.15574287,-0.06663373,-0.99621568,-0.05580252,-0.15931671,-0.04458642,0.98622018,0.10129479,0.05096006,-0.03531771,,
-0.98439504,0.0802543,-0.15660563,-0.07239813,-0.99584419,-0.05524969,-0.16038886,-0.04304957,0.98611467,0.08305594,0.0447849,-0.00634073,,
-0.98239626,0.09259832,-0.16224422,-0.08463573,-0.99487428,-0.05533549,-0.16653657,-0.04062972,0.98519785,0.04353338,0.03094029,-0.01307423,,
-0.98004318,0.10603059,-0.16814586,-0.09780116,-0.99360013,-0.05651428,-0.17306198,-0.03894157,0.9841408,0.06833283,0.00159717,-0.02690256,,
-0.97887532,0.11312724,-0.17030894,-0.1047203,-0.99283267,-0.05759123,-0.17560344,-0.03853983,0.98370631,0.103754,-0.01084912,-0.05449927,,
-0.97640876,0.12865766,-0.17341508,-0.11967075,-0.99091531,-0.061363,-0.17973451,-0.03916267,0.98293529,0.24065502,0.06725239,-0.1523142,,
-0.97347845,0.14556848,-0.17649039,-0.13582141,-0.98852085,-0.06616942,-0.18409667,-0.04044335,0.98207573,0.29754633,0.08964764,-0.03789278,,
-0.971618047,0.154770545,-0.178898997,-0.144556105,-0.987097382,-0.0688672293,-0.187249313,-0.0410516894,0.981454256,0.26857084,0.062885873,-0.000826857984,,
-0.96680493,0.17600497,-0.1852307,-0.16451782,-0.98345872,-0.07578107,-0.1955046,-0.04279176,0.97976876,0.26042476,0.08712875,0.06814364,,
-0.96157384,0.19982251,-0.18827274,-0.18739104,-0.97886942,-0.08184842,-0.2006496,-0.04342268,0.97870026,0.36982656,0.09501301,0.07915206,,
-0.95892082,0.21277005,-0.18761473,-0.20021861,-0.97616821,-0.08371177,-0.20095493,-0.04270901,0.97866902,0.44588536,0.06464588,0.03511471,,
-0.95325375,0.24051164,-0.1829231,-0.22832425,-0.96983928,-0.08531831,-0.19792611,-0.03956424,0.97941815,0.51913571,0.03624224,-0.07678871,,
-0.94617746,0.27075411,-0.17731383,-0.25955729,-0.96206654,-0.08401046,-0.19333391,-0.03346571,0.98056211,0.55393809,0.08467709,-0.01092456,,
-0.94219853,0.28689004,-0.1730778,-0.27639848,-0.95749773,-0.08247341,-0.18938242,-0.02986789,0.98144904,0.60959679,0.15246306,0.03371689,,
-0.93388778,0.32019699,-0.1591468,-0.31186339,-0.9471205,-0.07552605,-0.17491439,-0.02090079,0.98436178,0.63653326,0.2438253,0.09165692,,
-0.9067749,0.40795396,-0.10645516,-0.40695048,-0.91289009,-0.03198194,-0.11022903,0.01432156,0.99380303,1.10735059,0.06995391,-0.00794235,,
-0.88949469,0.44581987,-0.10021893,-0.4465988,-0.89459522,-0.01577619,-0.09668872,0.03072482,0.99484033,1.11112213,-0.04541337,-0.23348045,,
-0.87938446,0.46493173,-0.1025739,-0.46649255,-0.88447214,-0.00967954,-0.09522408,0.03933793,0.99467829,1.01342463,-0.08499955,-0.30535805,,
-0.85567136,0.50511536,-0.11262701,-0.50790567,-0.86140087,-0.00449699,-0.09928851,0.05335595,0.99362716,0.89456522,-0.18574487,-0.64800096,,
-0.830833468,0.542818577,-0.122733235,-0.546887073,-0.837205961,-0.000642569309,-0.103101812,0.0665873567,0.992439489,0.402011991,0.227890119,-0.399128318,,
-0.82098236,0.55691327,-0.125839,-0.56188676,-0.82719938,0.00493341,-0.10134647,0.07475752,0.99203841,0.22810677,0.3162913,-0.36999351,,
-0.80314371,0.58208087,-0.12705107,-0.58886776,-0.8079608,0.0208335,-0.09052551,0.09154857,0.99167736,0.07794489,0.18517731,-0.25152019,,
-0.79195739,0.59856346,-0.12051925,-0.6068649,-0.79338713,0.04744973,-0.06721677,0.11071708,0.99157634,-0.15909255,0.07556783,0.27395868,,
-0.78951155,0.60332458,-0.11256642,-0.61139478,-0.78916261,0.05847248,-0.05355532,0.11498721,0.99192226,-0.01037009,-0.0091598,0.30208525,,
-0.79367798,0.60043008,-0.09776824,-0.60753771,-0.79057075,0.07678196,-0.03119053,0.12033806,0.99224286,0.16371962,-0.09204506,0.02338456,,
-0.81450471,0.57453181,-0.08059428,-0.58014892,-0.8073329,0.10789342,-0.0030782,0.13463637,0.99089029,0.1557216,-0.37560788,-0.295647,,
-0.82768593,0.55668765,-0.07095464,-0.56104009,-0.81788721,0.12764885,0.01302764,0.14546158,0.98927812,0.09238026,-0.58537894,-0.28920636,,
-0.85435864,0.51792177,-0.0427601,-0.51734018,-0.83981595,0.16452474,0.04930033,0.16268464,0.98544568,0.1982339,-0.71095318,-0.26631427,,
-0.87953749,0.47564628,-0.01321544,-0.46951397,-0.86301813,0.18643114,0.07727011,0.17017799,0.98237915,0.23987404,-0.74040419,-0.25025991,,
-0.91730025,0.3976136,0.02152436,-0.38697709,-0.90289372,0.18716646,0.09385415,0.16335844,0.98209237,0.14722088,-0.65185267,-0.14965828,,
-0.94188184,0.33403808,0.03573134,-0.32401574,-0.93137688,0.16598337,0.08872412,0.14475924,0.98548099,0.14325887,-0.43968078,-0.03700215,,
